Russian,English
кино,cinema
класс,Class
клуб,club
книга,book
книжка,book
когда,when
"кое-где, кое-как, кое-какой, кое-когда, кое-кто, кое-что","in some way, somehow, something, in some way, Someone, Something"
коллектив,Collective
колхоз,collective farm
колхозник,Kolkhoznik
колхозный,Colhomous
команда,command
командир,commander
комбайн,Combine
комбинат,Combine
комитет,Committee
коммунизм,communism
коммунистический,communist
комната,room
комсомол,Komsomol
комсомолец,Komsomolets
комсомольский,Komsomol
конец,the end
конечно,Certainly
концерт,concert
корабль,ship
коридор,the corridor
корова,cow
короткий,short
костёр,bonfire
который,which the
край,edge
красивый,beautiful
красный,Red
крепкий,strong
крепко,firmly
крикнуть,shout
кричать,shout
кровать,bed
кроме,except
кружок,circle
крупный,large
крыша,roof
кто,who
куда,where
культура,Culture
купить,buy
курс,well
кусок,piece
кухня,kitchen
л,L
лагерь,camp
ладно,OK
лампа,lamp
лёгкий,light
легко,easily
лёд,ice
лежать,lie
лес,Forest
лета,Summer
лететь,fly
лето,summer
летом,summer
ли / ль,Li / L.
линия,line
лист,sheet
литература,literature
лицо,face
личный,private
лишь,only
лоб,forehead
лодка,a boat
лошадь,horse
луна,moon
лучше,better
лучший,best
любимый,favourite
любить,be in love
любовь,love
любой,any
люди,people
м,m
маленький,small
мало,few
малый,small
мальчик,boy
мама,Mother
мастер,master
мастерская,workshop
материал,material
матрос,sailor
мать,mother
машина,a car
медленно,slowly
между,between
мера,measure
место,a place
месяц,month
металл,metal
метр,meter
мечта,dream
мечтать,dream
мешать,interfere
миллион,million
милый,cute
мимо,by
минута,minute
мир,peace
мнение,opinion
многий,Many
много,many
можно,can
мой,my
молодёжь,young people
молодой,young
молоко,milk
молча,silently
молчать,silence
море,sea
морской,nautical
моряк,sailor
московский,Moscow
мочь,be able to
муж,husband
музыка,music
мы,we
мысль,thought
н,n
на,on
наверно,probably
наверное,maybe
над,above
надо,necessary
назад,back
назвать,call
называть,call
называться,be called
найти,find
наконец,finally
написать,Write
например,for example
народ,people
народный,People
настоящий,real
наука,the science
научиться,learn to
научный,scientific
находиться,be
начало,Start
начальник,Chief
начать,begin
начаться,begin
начинать,start off
начинаться,start off
наш,our
не,not
нёбо,sky
небольшой,small
недавно,recently
неделя,a week
некоторый,some
нельзя,it is forbidden
немецкий,German
немного,Little
неожиданно,suddenly
несколько,several
нести,carry
нет,No
неужели,Really
нечего,nothing
ни,no
никак,no way
никакой,no
никогда,never
никто,no one
ничто,nothing
но,but
новый,new
нога,leg
номер,room
нос,nose
ночь,night
нравиться,like
ну,Well
нужно,necessary
нужный,necessary
нынче,now
о,O
о / об / обо,about / about / about
оба,both
обед,dinner
область,region
образ,image
образование,education
обратиться,Contact
общественный,public
общество,society
общий,general
объяснить,explain
обычно,usually
обязательно,necessarily
обязательство,obligation
огонь,Fire
огромный,huge
один,one
однажды,once
однако,but
оказаться,be
окно,window
около,about
он,he
она,she
они,they
оно,it
опыт,an experience
опять,again
организация,organization
особенно,especially
особый,special
оставаться,stay
оставить,leave
остальной,rest
остановиться,stay
остаться,stay
от,from
ответ,answer
ответить,to answer
отвечать,reply
отдать,give out
отдел,Department
отец,father
открытие,opening
открытый,open
открыть,open
откуда,where
отношение,Attitude
отряд,squad
очень,very
очередь,queue
п,NS
палец,finger
пальто,coat
память,memory
папа,dad
парень,guy
пароход,steamer
парта,desk
партийный,party
партия,the consignment
пауза,pause
первый,first
перед,front
передать,hand over
передача,broadcast
перестать,stop
песня,song
петь,sing
пионер,pioneer
пионерский,Pioneer
писать,write
письмо,letter
пить,drink
плакат,poster
план,plan
платок,handkerchief
пленум,Plenum
плечо,shoulder
плохо,poorly
плохой,bad
площадка,area
площадь,square
по,on
победа,victory
поговорить,talk
под,under
подарок,present
подниматься,get up
поднять,raise
подняться,rise
подойти,come true
подумать,think
подходить,suit
поезд,train
поехать,go
пожалуй,perhaps
пожалуйста,please
познакомиться,become acquainted
пойти,Go
пока,while
показать,show
показаться,appear
показывать,show
пол,floor
поле,field
полный,full
половина,half
положение,position
положить,put
получать,receive
получить,receive
получиться,come out
помнить,remember
помогать,to help
помочь,help
помощник,assistant
помощь,help
понимать,understand
понравиться,like
понять,understand
попасть,get
попробовать,Try
попросить,ask for
пора,It's time
портрет,portrait
порядок,order
после,after
последний,last
послушать,listen
посмотреть,look
поставить,put
поступить,report
поступок,deed
потом,after
потому,because
поход,hike
похожий,similar
почему,why
почти,almost
поэтому,therefore
появиться,to appear
правда,truth
правильно,right
правительство,government
право,right
праздник,holiday
предложить,offer
предприятие,company
председатель,Chairman
представить,imagine
прежде,Before
прежний,former
прекрасный,beautiful
при,at
придумать,come up with
приехать,come
прийти,come
прийтись,come
пример,example
принести,bring
принимать,accept
принять,accept
природа,nature
приходить,to come
приходиться,come
про,pro
провести,conduct
проводить,conduct
продолжать,continue
продукция,Products
произведение,work
производственный,industrial
производство,production
произойти,occur
пройти,pass the
просить,ask
просто,simply
простой,simple
против,against
профессия,profession
проходить,pass
прочитать,Read
прошлый,last
прямо,directly
птица,bird
пусть,let be
путь,way
пытаться,try
пятнадцать,fifteen
пятый,fifth
пять,five
пятьдесят,fifty
р,R
работа,Work
работать,work
работник,employee
рабочий,worker
равно,equals
радость,joy
раз,once
разве,not
развитие,development
разговаривать,talk
разговор,talk
различный,different
разный,different
район,district
раньше,earlier
рассказ,story
рассказать,tell
рассказывать,tell
расти,grow
ребёнок,child
ребята,guys
редакция,Editorial
результат,result
река,river
республика,republic
речь,speech
решение,solution
решить,decide
рисунок,drawing
родина,Motherland
родной,native
рост,height
рубль,ruble
рука,hand
руководитель,supervisor
русский,Russian
рыба,a fish
ряд,row
с,with
с / со,c/s
сад,garden
садиться,Surface
сам,myself
самолёт,airplane
самый,most
сбор,collection
свет,light
светлый,light
свободный,free
свой,mine
связь,connection
сделанный,made
сделать,do
себя,myself
сегодня,today
седьмой,seventh
сей,this
сейчас,now
секретарь,Secretary
секунда,second
село,village
семилетка,Semiliel
семь,seven
семья,a family
сердце,heart
серый,Gray
серьёзный,serious
сесть,Seek
сидеть,sit
сила,force
сильный,strong
синий,blue
сказать,to tell
сколько,how
скорее,quicker
следить,track
следовать,to follow
следующий,next
слесарь,locksmith
слишком,too much
словно,Like
слово,word
сложный,complicated
случай,happening
случиться,happen
слушать,listen
слышать,hear
смена,change
смеяться,laugh
смотреть,watch
смочь,Mock
сначала,at first
снег,snow
снова,again
снять,take off
собака,dog
собирать,collect
собираться,going to
собрание,meeting
собрать,Collect
собраться,gather
собственный,own
совершенно,Top
совет,advice
советский,Soviet
совсем,at all
совхоз,state farm
согласиться,agree
сожаление,regret
созданный,created
создать,create
солдат,soldier
солнце,Sun
сообщить,to report
соревнование,competition
сорок,Fourty
сосед,neighbor
состояться,take place
сотня,a hundred
социалистический,socialist
союз,Soyuz
спасибо,thanks
спать,sleep
специальный,special
спина,back
спокойно,calmly
спорт,sport
спортивный,sports
спортсмен,athlete
спрашивать,ask
спросить,ask
сразу,straightaway
среди,among
средний,average
ставить,set
становиться,become
станок,machine
станция,station
стараться,try
старик,old man
старший,older
старый,old
стать,become
статья,article
стекло,glass
стена,wall
стих,poem
сто,hundred
стоить,cost
стол,table
столовая,canteen
сторона,side
стоять,stand
страна,country
страница,page
строитель,builder
строительный,building
строительство,construction
строить,build
стройка,construction
студент,student
суд,court
судно,vessel
судьба,fate
сцена,scene
счастливый,happy
счастье,happiness
счёт,check
считать,think
съезд,Congress
сын,a son
сюда,here
т,T
так,So
также,also
такой,such
там,there
твой,is yours
творчество,creation
театр,theatre
телефон,telephone
тема,theme
тёмный,dark
теперь,now
тёплый,warm
тётя,aunt
техника,technique
технический,technical
тихий,quiet
тихо,quiet
товарищ,comrade
тогда,then
тоже,too
только,only
тонкий,thin
тонна,ton
торжественный,solemn
тот,that
точно,for sure
трава,grass
трактор,tractor
требовать,demand
третий,third
три,three
тридцать,thirty
трубка,a tube
труд,work
трудиться,work
трудно,hard
трудный,difficult
трудовой,labor
трудящийся,Working
туда,there
тут,here
ты,you
тысяча,thousand
тяжёлый,heavy
у,w
увидеть,see
угол,injection
удаться,succeed
удивиться,Surprise
уехать,To leave
уже,already
узкий,narrow
узнать,to know
уйти,go
улица,Street
улыбка,smile
улыбнуться,smile
уметь,be able to
университет,University
урок,lesson
условие,condition
услышать,hear
успеть,be on time
успех,success
устроить,arrange
утро,morning
утром,in the morning
ухо,ear
уходить,leave
участие,participation
участник,participant
участок,plot
учащийся,student
учёба,studies
ученик,student
учёный,scientist
училище,School
учитель,teacher
учительница,teacher
учить,learn
учиться,study
ф,f
фабрика,factory
ферма,farm
форма,the form
фронт,front
х,NS
характер,character
хвост,tail
хлеб,bread
ход,Turn
ходить,walk
хозяин,master
хозяйство,farm
холодный,cold
хороший,good
хорошо,OK
хотеть,to want
хотеться,want
хоть,though
хотя,although
художественный,art
художник,painter
ц,c
цветок,flower
целый,whole
цель,goal
центральный,central
цех,shop
цифра,number
ч,ch
чай,tea
час,hour
часто,often
часть,part
часы,watch
человек,human
человеческий,human
чем,how
через,across
чёрный,black
честный,fair
четвёртый,fourth
четыре,four
число,number
чистый,clean
читатель,reader
читать,read
член,member
что,what
чтобы / чтоб,To / to
чувство,feeling
чувствовать,feel
чужой,stranger
чуть,slightly
ш,NS
шаг,step
шестой,sixth
шесть,six
шестьдесят,sixty
широкий,wide
школа,school
школьник,schoolboy
школьный,school
шофёр,chauffeur
штаб,headquarters
шум,noise
э,NS
этаж,floor
это,this is
этот,this
эх,Eh
ю,NS
юноша,Junior
юный,young
я,I am
являться,be
язык,language
яркий,bright
ясно,clear
ящик,box
